Name,Sex,Count,Year
Michael,M,67828,1973
Jennifer,F,62446,1973
Christopher,M,48316,1973
Jason,M,46682,1973
James,M,42854,1973
David,M,41095,1973
John,M,39178,1973
Robert,M,38693,1973
William,M,28019,1973
Amy,F,26964,1973
Michelle,F,26934,1973
Matthew,M,24535,1973
Daniel,M,23682,1973
Kimberly,F,23532,1973
Melissa,F,22480,1973
Joseph,M,21334,1973
Heather,F,19346,1973
Stephanie,F,17263,1973
Anthony,M,16420,1973
Nicole,F,13924,1973
Elizabeth,F,12358,1973
Andrew,M,10729,1973
Ryan,M,10511,1973
Jonathan,M,10274,1973
Joshua,M,8062,1973
Jessica,F,7226,1973
Sarah,F,7215,1973
Rachel,F,6105,1973
Justin,M,6078,1973
Amanda,F,5626,1973
Brandon,M,5069,1973
Nicholas,M,3153,1973
Emily,F,3028,1973
Jacob,M,2125,1973
Samantha,F,2118,1973
Ashley,F,1250,1973
Lauren,F,1097,1973
Emma,F,419,1973
Olivia,F,362,1973
Hannah,F,300,1973
Michael,M,67550,1974
Jennifer,F,63110,1974
Jason,M,54762,1974
Christopher,M,48593,1974
David,M,41804,1974
James,M,41345,1974
John,M,37628,1974
Robert,M,37017,1974
Amy,F,29564,1974
Matthew,M,27207,1974
William,M,26984,1974
Michelle,F,25830,1974
Daniel,M,23838,1974
Heather,F,23181,1974
Kimberly,F,22424,1974
Melissa,F,22165,1974
Joseph,M,21835,1974
Stephanie,F,16981,1974
Anthony,M,16392,1974
Ryan,M,13186,1974
Nicole,F,13116,1974
Elizabeth,F,12264,1974
Andrew,M,11781,1974
Joshua,M,11600,1974
Jessica,F,10653,1974
Jonathan,M,10234,1974
Sarah,F,9791,1974
Amanda,F,7474,1974
Justin,M,7429,1974
Rachel,F,7399,1974
Brandon,M,5859,1974
Emily,F,4330,1974
Nicholas,M,3218,1974
Jacob,M,2959,1974
Samantha,F,2253,1974
Ashley,F,1624,1974
Lauren,F,1394,1974
Olivia,F,507,1974
Emma,F,492,1974
Hannah,F,326,1974
Michael,M,68432,1975
Jennifer,F,58188,1975
Jason,M,52173,1975
Christopher,M,46581,1975
James,M,39576,1975
David,M,39173,1975
Robert,M,35316,1975
John,M,35077,1975
Amy,F,32254,1975
Matthew,M,28547,1975
William,M,25567,1975
Heather,F,24302,1975
Melissa,F,24169,1975
Daniel,M,23823,1975
Michelle,F,22664,1975
Joseph,M,22131,1975
Kimberly,F,20260,1975
Anthony,M,16491,1975
Stephanie,F,15774,1975
Ryan,M,15301,1975
Joshua,M,14565,1975
Nicole,F,14276,1975
Jessica,F,12930,1975
Andrew,M,12765,1975
Amanda,F,12657,1975
Elizabeth,F,12472,1975
Sarah,F,11172,1975
Jonathan,M,10904,1975
Justin,M,8896,1975
Rachel,F,8228,1975
Brandon,M,7089,1975
Emily,F,5483,1975
Jacob,M,3621,1975
Nicholas,M,3318,1975
Samantha,F,2835,1975
Ashley,F,1989,1975
Lauren,F,1845,1975
Olivia,F,1049,1975
Emma,F,477,1975
Hannah,F,445,1975
Michael,M,66928,1976
Jennifer,F,59474,1976
Jason,M,52661,1976
Christopher,M,45203,1976
David,M,39281,1976
James,M,38304,1976
John,M,33991,1976
Robert,M,33793,1976
Amy,F,31338,1976
Matthew,M,29955,1976
Melissa,F,25095,1976
Daniel,M,24713,1976
William,M,24439,1976
Heather,F,24191,1976
Joseph,M,24063,1976
Michelle,F,19553,1976
Kimberly,F,18964,1976
Jessica,F,18369,1976
Ryan,M,17495,1976
Joshua,M,16857,1976
Anthony,M,16604,1976
Amanda,F,15590,1976
Stephanie,F,15181,1976
Nicole,F,14450,1976
Sarah,F,13995,1976
Elizabeth,F,13547,1976
Andrew,M,13305,1976
Jonathan,M,11314,1976
Justin,M,10148,1976
Rachel,F,8453,1976
Brandon,M,7792,1976
Emily,F,5548,1976
Jacob,M,4512,1976
Nicholas,M,3468,1976
Samantha,F,3350,1976
Ashley,F,2288,1976
Lauren,F,2219,1976
Olivia,F,1233,1976
Hannah,F,536,1976
Emma,F,414,1976
Michael,M,67600,1977
Jennifer,F,58964,1977
Jason,M,55638,1977
Christopher,M,46736,1977
